11.70694,47.49944,"Alpen-Caravanpark Achensee; 6215 Achenkirch"
15.42611,48.29667,"Gasthof Zur Kartause; 3642 Aggsbach Dorf"
15.40694,48.29056,"Hotel Donauterrasse; 3642 Aggsbach Dorf"
15.40417,48.29472,"Parkplatz am Badestrand; 3641 Aggsbach Markt"
16.06361,48.06750,"OMV-Tankstelle; 2534 Alland"
13.77389,47.62833,"Camping-Caravan Altaussee; 8992 Altaussee"
13.42889,47.37056,"Stellplatz Kellerbauer; 5541 Altenmarkt im Pongau"
14.95667,48.49111,"Stellplatz am Beach-Volleyballplatz; 3925 Arbesbach"
14.82583,48.17972,"Donauwellenpark; 3321 Ardagger"
11.89972,47.26306,"Erlebnis-Camping Aufenfeld; 6274 Aschau im Zillertal"
14.69972,48.10694,"Bauernhof Edtbauer; 3361 Aschbach Markt"
15.22750,46.86722,"Parkplatz an der Freizeitanlage; 8524 Bad Gams"
13.62389,47.71472,"Parkplatz Kaiserwinkel; 4820 Bad Ischl"
15.99028,46.69528,"Camping-Stellplatz Alt-Weindörfl; 8490 Bad Radkersburg"
14.79361,46.96056,"Stellplatz am Sportplatz; 9462 Bad St. Leonhard"
16.02306,47.16194,"Thermenland Camping; 8271 Bad Waltersdorf"
15.98611,47.16806,"Gasthof Erhardt; 8271 Bad Waltersdorf"
16.87472,48.69389,"Stellplatz am Landschaftsteich; 2275 Bernhardsthal"
10.89111,47.37444,"Wohnmobilhafen Alpencamp Marienberg; 6633 Biberwier"
14.79639,46.59083,"Parkplatz Graben; 9150 Bleiburg"
15.01806,48.81806,"Waldhäuslhütte; 3871 Brand-Nagelberg"
12.99861,48.23222,"Gasthof Mostschenke Putscher; 5282 Braunau am Inn"
13.09278,46.66111,"Bauerncamping Tillian; 9635 Dellach im Gailtal"
15.81333,46.75083,"Pechmann’s Alte Ölmühle; 8483 Deutsch Goritz"
17.11083,48.00750,"Wohnmobil-Stellplatz Deutsch Jahrndorf; 2423 Deutsch Jahrndorf"
15.32583,47.20056,"Reitclub Deutschfeistritz; 8121 Deutschfeistritz"
15.22250,46.81778,"Parkplatz Koralmhalle; 8530 Deutschlandsberg"
9.72417,47.40583,"Stellplatz bei Familie Mathis; 6850 Dornbirn"
16.61000,48.74167,"Weingut Pension Berg-Hahn; 2165 Drasenhofen"
13.39611,47.40000,"See-Camping Eben; 5531 Eben im Pongau"
13.79028,47.80917,"Freizeitanlage Rindbach; 4802 Ebensee am Traunsee"
15.81722,48.64500,"Wohnmobilstand Eggenburg; 3730 Eggenburg"
10.94028,47.42667,"Mondscheinplatz Tiroler Zugspitz Camping; 6623 Ehrwald"
15.16444,48.16889,"Gasthaus Nabegger; 3253 Erlauf"
14.29722,46.52500,"Messeparkplatz am Schloss Ferlach; 9170 Ferlach"
13.39417,47.35333,"Alter Jagdhof Flachau; 5542 Flachau"
13.40778,47.28556,"Jausenstation Schauphof; 5542 Flachau"
14.51028,48.51444,"Freistädter Freizeitclub; 4240 Freistadt"
14.54778,47.48611,"Stellplatz am Sportzentrum; 8783 Gaishorn am See"
14.40806,48.36028,"Freizeitzentrum; 4210 Gallneukirchen"
13.79722,48.21194,"Bauernhofcamping Tirolerhof; 4713 Gallspach"
10.12722,46.97806,"Haus Zeinissee Camping; 6563 Galtür"
15.56500,46.72250,"Buschenschank Loar-Moar; 8462 Gamlitz"
15.65639,48.59222,"Stellplatz am Erlebnisbad; 3571 Gars am Kamp"
15.52083,48.54444,"Wohnmobilstellplatz Gföhleramt; 3542 Gföhl"
14.11694,46.87222,"Gasthof Hochsteiner; 9346 Glödnitz"
13.78667,47.91139,"Parkplatz Toscanapark; 4810 Gmunden"
13.95194,46.77917,"Camperpark Nockberge; 9563 Gnesau"
13.17417,47.59639,"Stellplatz Aqua Salza; 5440 Golling"
13.51639,47.55111,"Hotel-Restaurant Gosauschmied; 4824 Gosau"
15.79667,46.72611,"Hof Schönwetter; 8482 Gosdorf"
15.74083,48.43389,"Stellplatz am Weingut Gartner; 3485 Grafenegg"
11.47167,47.06667,"Gasthof Humler-Hof; 6156 Gries am Brenner"
15.01500,48.55722,"Hofbauer Haslinger; 3920 Groß Gerungs"
13.19833,47.23750,"Kfz-Betrieb Viehhauser; 5611 Großarl"
14.80667,47.19361,"Camping Murinsel; 8734 Großlobming"
14.92556,48.63306,"Biobauernhof Binder; 3922 Großschönau"
14.58917,48.54028,"Forellenwirt Kastler; 4264 Grünbach bei Freistadt"
16.11194,48.49667,"Barbara Heurigen; 2013 Göllersdorf"
11.49583,47.28389,"Schwimmbad-Camping; 6060 Hall in Tirol"
9.68722,47.48444,"Gasthaus Sternen; 6971 Hard"
14.04028,48.58028,"Kleincampingplatz Haslach; 4170 Haslach/Mühl"
